['CCCma-CanESM2', 'CLMcom-CCLM4-8-17', 'r1i1p1']
['MPI-M-MPI-ESM-LR', 'MPI-CSC-REMO2009', 'r2i1p1']
['MPI-M-MPI-ESM-LR', 'SMHI-RCA4', 'r1i1p1']
['MPI-M-MPI-ESM-LR', 'SMHI-RCA4', 'r2i1p1']
['MPI-M-MPI-ESM-LR', 'SMHI-RCA4', 'r3i1p1']
['NCC-NorESM1-M', 'CLMcom-ETH-COSMO-crCLIM-v1-1', 'r1i1p1']
['NCC-NorESM1-M', 'CNRM-ALADIN63', 'r1i1p1']
['NCC-NorESM1-M', 'DMI-HIRHAM5', 'r1i1p1']
['NCC-NorESM1-M', 'GERICS-REMO2015', 'r1i1p1']
['NCC-NorESM1-M', 'IPSL-WRF381P', 'r1i1p1']
['NCC-NorESM1-M', 'KNMI-RACMO22E', 'r1i1p1']
['NCC-NorESM1-M', 'MOHC-HadREM3-GA7-05', 'r1i1p1']
['NCC-NorESM1-M', 'SMHI-RCA4', 'r1i1p1']
